"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 15 20:29:33 UTC 2026","Sat Aug 15 20:29:36 UTC 2026","2284","tests.UI","test_left_navigation_panel","","","","test_left_navigation_panel[chromium]","Test viewing account details for a specific account."
"failed","Sat Aug 15 20:29:31 UTC 2026","Sat Aug 15 20:29:32 UTC 2026","799","tests.UI.accessibility","test_accessibility_home_page","","","","test_page_accessibility[chromium]",""
"passed","Sat Aug 15 20:29:32 UTC 2026","Sat Aug 15 20:29:32 UTC 2026","105","tests.API","test_get_account_details","","","","test_get_account_details","Test retrieving account details for a specific customer with validation."
"passed","Sat Aug 15 20:29:32 UTC 2026","Sat Aug 15 20:29:32 UTC 2026","82","tests.API","test_get_accounts_for_customer","","","","test_get_accounts_for_customer","Test retrieving accounts list for a customer with validation."
"passed","Sat Aug 15 20:29:40 UTC 2026","Sat Aug 15 20:29:41 UTC 2026","1365","tests.UI","test_view_account_details","","","","test_view_account_details[chromium]","Test viewing account details for a specific account."
"passed","Sat Aug 15 20:29:32 UTC 2026","Sat Aug 15 20:29:32 UTC 2026","213","tests.API","test_fund_transfer_transaction_recording","","","","test_get_transactions","Test fund transfer creates correct debit/credit transactions in both accounts with schema validation."
"passed","Sat Aug 15 20:29:32 UTC 2026","Sat Aug 15 20:29:33 UTC 2026","956","tests.UI","test_failed_login","","","","test_failed_login[chromium]","Test that login fails with invalid credentials and displays appropriate error messages."
"passed","Sat Aug 15 20:29:31 UTC 2026","Sat Aug 15 20:29:31 UTC 2026","83","tests.API","test_create_account_with_invalid_from_account","","","","test_create_account_with_invalid_from_account_id","Test that creating a new account fails when using a non-existent from_account_id"
"passed","Sat Aug 15 20:29:38 UTC 2026","Sat Aug 15 20:29:39 UTC 2026","1934","tests.UI","test_transfer_funds","","","","test_transfer_funds[chromium]","Test transferring funds between accounts."
"passed","Sat Aug 15 20:29:36 UTC 2026","Sat Aug 15 20:29:37 UTC 2026","876","tests.UI","test_success_login","","","","test_success_login[chromium]","Test successful login to the Parabank application."
"passed","Sat Aug 15 20:29:31 UTC 2026","Sat Aug 15 20:29:31 UTC 2026","133","tests.API","test_create_new_account","","","","test_create_new_account","Test creating a new account for a customer with response validation."
