"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 16 07:24:24 UTC 2025","Tue Dec 16 07:24:25 UTC 2025","1237","tests.UI","test_transfer_funds","","","","test_transfer_funds[chromium]","Test transferring funds between accounts."
"passed","Tue Dec 16 07:24:21 UTC 2025","Tue Dec 16 07:24:23 UTC 2025","1641","tests.UI","test_left_navigation_panel","","","","test_left_navigation_panel[chromium]","Test viewing account details for a specific account."
"passed","Tue Dec 16 07:24:23 UTC 2025","Tue Dec 16 07:24:24 UTC 2025","628","tests.UI","test_success_login","","","","test_success_login[chromium]","Test successful login to the Parabank application."
"passed","Tue Dec 16 07:24:23 UTC 2025","Tue Dec 16 07:24:23 UTC 2025","142","tests.API","test_get_accounts_for_customer","","","","test_get_accounts_for_customer","Test retrieving accounts list for a customer with validation."
"passed","Tue Dec 16 07:24:25 UTC 2025","Tue Dec 16 07:24:26 UTC 2025","759","tests.UI","test_view_account_details","","","","test_view_account_details[chromium]","Test viewing account details for a specific account."
"passed","Tue Dec 16 07:24:21 UTC 2025","Tue Dec 16 07:24:21 UTC 2025","244","tests.API","test_create_new_account","","","","test_create_new_account","Test creating a new account for a customer with response validation."
"passed","Tue Dec 16 07:24:20 UTC 2025","Tue Dec 16 07:24:21 UTC 2025","866","tests.UI","test_failed_login","","","","test_failed_login[chromium]","Test that login fails with invalid credentials and displays appropriate error messages."
"passed","Tue Dec 16 07:24:21 UTC 2025","Tue Dec 16 07:24:22 UTC 2025","496","tests.API","test_fund_transfer_transaction_recording","","","","test_get_transactions","Test fund transfer creates correct debit/credit transactions in both accounts with schema validation."
"passed","Tue Dec 16 07:24:20 UTC 2025","Tue Dec 16 07:24:20 UTC 2025","142","tests.API","test_create_account_with_invalid_from_account","","","","test_create_account_with_invalid_from_account_id","Test that creating a new account fails when using a non-existent from_account_id"
"passed","Tue Dec 16 07:24:22 UTC 2025","Tue Dec 16 07:24:23 UTC 2025","214","tests.API","test_get_account_details","","","","test_get_account_details","Test retrieving account details for a specific customer with validation."
