"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 27 23:45:10 UTC 2026","Fri Feb 27 23:45:11 UTC 2026","583","tests.UI","test_success_login","","","","test_success_login[chromium]","Test successful login to the Parabank application."
"passed","Fri Feb 27 23:45:00 UTC 2026","Fri Feb 27 23:45:00 UTC 2026","130","tests.API","test_get_accounts_for_customer","","","","test_get_accounts_for_customer","Test retrieving accounts list for a customer with validation."
"passed","Fri Feb 27 23:45:13 UTC 2026","Fri Feb 27 23:45:14 UTC 2026","893","tests.UI","test_view_account_details","","","","test_view_account_details[chromium]","Test viewing account details for a specific account."
"passed","Fri Feb 27 23:44:59 UTC 2026","Fri Feb 27 23:45:00 UTC 2026","211","tests.API","test_get_account_details","","","","test_get_account_details","Test retrieving account details for a specific customer with validation."
"passed","Fri Feb 27 23:45:08 UTC 2026","Fri Feb 27 23:45:10 UTC 2026","1614","tests.UI","test_left_navigation_panel","","","","test_left_navigation_panel[chromium]","Test viewing account details for a specific account."
"passed","Fri Feb 27 23:45:07 UTC 2026","Fri Feb 27 23:45:08 UTC 2026","808","tests.UI","test_failed_login","","","","test_failed_login[chromium]","Test that login fails with invalid credentials and displays appropriate error messages."
"passed","Fri Feb 27 23:45:11 UTC 2026","Fri Feb 27 23:45:13 UTC 2026","1186","tests.UI","test_transfer_funds","","","","test_transfer_funds[chromium]","Test transferring funds between accounts."
"passed","Fri Feb 27 23:44:57 UTC 2026","Fri Feb 27 23:44:57 UTC 2026","142","tests.API","test_create_account_with_invalid_from_account","","","","test_create_account_with_invalid_from_account_id","Test that creating a new account fails when using a non-existent from_account_id"
"passed","Fri Feb 27 23:44:58 UTC 2026","Fri Feb 27 23:44:59 UTC 2026","554","tests.API","test_fund_transfer_transaction_recording","","","","test_get_transactions","Test fund transfer creates correct debit/credit transactions in both accounts with schema validation."
"passed","Fri Feb 27 23:44:58 UTC 2026","Fri Feb 27 23:44:58 UTC 2026","229","tests.API","test_create_new_account","","","","test_create_new_account","Test creating a new account for a customer with response validation."
