"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 15 20:28:15 UTC 2026","Sat Aug 15 20:28:17 UTC 2026","2124","tests.UI","test_left_navigation_panel","","","","test_left_navigation_panel[chromium]","Test viewing account details for a specific account."
"passed","Sat Aug 15 20:28:18 UTC 2026","Sat Aug 15 20:28:19 UTC 2026","876","tests.UI","test_success_login","","","","test_success_login[chromium]","Test successful login to the Parabank application."
"passed","Sat Aug 15 20:28:12 UTC 2026","Sat Aug 15 20:28:13 UTC 2026","174","tests.API","test_get_account_details","","","","test_get_account_details","Test retrieving account details for a specific customer with validation."
"failed","Sat Aug 15 20:28:13 UTC 2026","Sat Aug 15 20:28:13 UTC 2026","736","tests.UI.accessibility","test_accessibility_home_page","","","","test_page_accessibility[chromium]",""
"passed","Sat Aug 15 20:28:11 UTC 2026","Sat Aug 15 20:28:11 UTC 2026","116","tests.API","test_create_account_with_invalid_from_account","","","","test_create_account_with_invalid_from_account_id","Test that creating a new account fails when using a non-existent from_account_id"
"passed","Sat Aug 15 20:28:19 UTC 2026","Sat Aug 15 20:28:21 UTC 2026","1654","tests.UI","test_transfer_funds","","","","test_transfer_funds[chromium]","Test transferring funds between accounts."
"passed","Sat Aug 15 20:28:14 UTC 2026","Sat Aug 15 20:28:15 UTC 2026","904","tests.UI","test_failed_login","","","","test_failed_login[chromium]","Test that login fails with invalid credentials and displays appropriate error messages."
"passed","Sat Aug 15 20:28:12 UTC 2026","Sat Aug 15 20:28:12 UTC 2026","388","tests.API","test_fund_transfer_transaction_recording","","","","test_get_transactions","Test fund transfer creates correct debit/credit transactions in both accounts with schema validation."
"passed","Sat Aug 15 20:28:21 UTC 2026","Sat Aug 15 20:28:22 UTC 2026","1188","tests.UI","test_view_account_details","","","","test_view_account_details[chromium]","Test viewing account details for a specific account."
"passed","Sat Aug 15 20:28:11 UTC 2026","Sat Aug 15 20:28:11 UTC 2026","178","tests.API","test_create_new_account","","","","test_create_new_account","Test creating a new account for a customer with response validation."
"passed","Sat Aug 15 20:28:13 UTC 2026","Sat Aug 15 20:28:13 UTC 2026","104","tests.API","test_get_accounts_for_customer","","","","test_get_accounts_for_customer","Test retrieving accounts list for a customer with validation."
