"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 15 18:06:26 UTC 2026","Wed Apr 15 18:06:27 UTC 2026","998","tests.UI","test_success_login","","","","test_success_login[chromium]","Test successful login to the Parabank application."
"passed","Wed Apr 15 18:06:06 UTC 2026","Wed Apr 15 18:06:06 UTC 2026","228","tests.API","test_fund_transfer_transaction_recording","","","","test_get_transactions","Test fund transfer creates correct debit/credit transactions in both accounts with schema validation."
"passed","Wed Apr 15 18:06:05 UTC 2026","Wed Apr 15 18:06:05 UTC 2026","106","tests.API","test_create_account_with_invalid_from_account","","","","test_create_account_with_invalid_from_account_id","Test that creating a new account fails when using a non-existent from_account_id"
"failed","Wed Apr 15 18:06:20 UTC 2026","Wed Apr 15 18:06:21 UTC 2026","1011","tests.UI.accessibility","test_accessibility_home_page","","","","test_page_accessibility[chromium]",""
"passed","Wed Apr 15 18:06:28 UTC 2026","Wed Apr 15 18:06:30 UTC 2026","2218","tests.UI","test_transfer_funds","","","","test_transfer_funds[chromium]","Test transferring funds between accounts."
"passed","Wed Apr 15 18:06:06 UTC 2026","Wed Apr 15 18:06:06 UTC 2026","142","tests.API","test_create_new_account","","","","test_create_new_account","Test creating a new account for a customer with response validation."
"passed","Wed Apr 15 18:06:07 UTC 2026","Wed Apr 15 18:06:07 UTC 2026","89","tests.API","test_get_accounts_for_customer","","","","test_get_accounts_for_customer","Test retrieving accounts list for a customer with validation."
"passed","Wed Apr 15 18:06:30 UTC 2026","Wed Apr 15 18:06:32 UTC 2026","1385","tests.UI","test_view_account_details","","","","test_view_account_details[chromium]","Test viewing account details for a specific account."
"passed","Wed Apr 15 18:06:23 UTC 2026","Wed Apr 15 18:06:25 UTC 2026","2379","tests.UI","test_left_navigation_panel","","","","test_left_navigation_panel[chromium]","Test viewing account details for a specific account."
"passed","Wed Apr 15 18:06:07 UTC 2026","Wed Apr 15 18:06:07 UTC 2026","160","tests.API","test_get_account_details","","","","test_get_account_details","Test retrieving account details for a specific customer with validation."
"passed","Wed Apr 15 18:06:21 UTC 2026","Wed Apr 15 18:06:22 UTC 2026","1147","tests.UI","test_failed_login","","","","test_failed_login[chromium]","Test that login fails with invalid credentials and displays appropriate error messages."
