"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 15 21:33:26 UTC 2026","Sat Aug 15 21:33:26 UTC 2026","558","tests.API","test_fund_transfer_transaction_recording","","","","test_get_transactions","Test fund transfer creates correct debit/credit transactions in both accounts with schema validation."
"passed","Sat Aug 15 21:33:25 UTC 2026","Sat Aug 15 21:33:25 UTC 2026","216","tests.API","test_create_new_account","","","","test_create_new_account","Test creating a new account for a customer with response validation."
"passed","Sat Aug 15 21:33:20 UTC 2026","Sat Aug 15 21:33:21 UTC 2026","624","tests.UI","test_success_login","","","","test_success_login[chromium]","Test successful login to the Parabank application."
"passed","Sat Aug 15 21:33:21 UTC 2026","Sat Aug 15 21:33:22 UTC 2026","1274","tests.UI","test_transfer_funds","","","","test_transfer_funds[chromium]","Test transferring funds between accounts."
"passed","Sat Aug 15 21:33:18 UTC 2026","Sat Aug 15 21:33:20 UTC 2026","1633","tests.UI","test_left_navigation_panel","","","","test_left_navigation_panel[chromium]","Test viewing account details for a specific account."
"passed","Sat Aug 15 21:33:26 UTC 2026","Sat Aug 15 21:33:27 UTC 2026","208","tests.API","test_get_account_details","","","","test_get_account_details","Test retrieving account details for a specific customer with validation."
"passed","Sat Aug 15 21:33:24 UTC 2026","Sat Aug 15 21:33:24 UTC 2026","257","tests.API","test_create_account_with_invalid_from_account","","","","test_create_account_with_invalid_from_account_id","Test that creating a new account fails when using a non-existent from_account_id"
"passed","Sat Aug 15 21:33:27 UTC 2026","Sat Aug 15 21:33:27 UTC 2026","142","tests.API","test_get_accounts_for_customer","","","","test_get_accounts_for_customer","Test retrieving accounts list for a customer with validation."
"passed","Sat Aug 15 21:33:23 UTC 2026","Sat Aug 15 21:33:24 UTC 2026","1167","tests.UI","test_view_account_details","","","","test_view_account_details[chromium]","Test viewing account details for a specific account."
"passed","Sat Aug 15 21:33:17 UTC 2026","Sat Aug 15 21:33:18 UTC 2026","766","tests.UI","test_failed_login","","","","test_failed_login[chromium]","Test that login fails with invalid credentials and displays appropriate error messages."
"failed","Sat Aug 15 21:33:16 UTC 2026","Sat Aug 15 21:33:17 UTC 2026","552","tests.UI.accessibility","test_accessibility_home_page","","","","test_page_accessibility[chromium]",""
