"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 15 20:41:56 UTC 2026","Sat Aug 15 20:41:57 UTC 2026","796","tests.UI.accessibility","test_accessibility_home_page","","","","test_page_accessibility[chromium]",""
"passed","Sat Aug 15 20:41:57 UTC 2026","Sat Aug 15 20:41:58 UTC 2026","738","tests.UI","test_failed_login","","","","test_failed_login[chromium]","Test that login fails with invalid credentials and displays appropriate error messages."
"passed","Sat Aug 15 20:42:05 UTC 2026","Sat Aug 15 20:42:05 UTC 2026","283","tests.API","test_create_new_account","","","","test_create_new_account","Test creating a new account for a customer with response validation."
"passed","Sat Aug 15 20:42:02 UTC 2026","Sat Aug 15 20:42:04 UTC 2026","2054","tests.UI","test_transfer_funds","","","","test_transfer_funds[chromium]","Test transferring funds between accounts."
"passed","Sat Aug 15 20:42:07 UTC 2026","Sat Aug 15 20:42:07 UTC 2026","179","tests.API","test_get_account_details","","","","test_get_account_details","Test retrieving account details for a specific customer with validation."
"passed","Sat Aug 15 20:41:58 UTC 2026","Sat Aug 15 20:42:01 UTC 2026","2230","tests.UI","test_left_navigation_panel","","","","test_left_navigation_panel[chromium]","Test viewing account details for a specific account."
"passed","Sat Aug 15 20:42:05 UTC 2026","Sat Aug 15 20:42:06 UTC 2026","1317","tests.UI","test_view_account_details","","","","test_view_account_details[chromium]","Test viewing account details for a specific account."
"passed","Sat Aug 15 20:42:01 UTC 2026","Sat Aug 15 20:42:02 UTC 2026","842","tests.UI","test_success_login","","","","test_success_login[chromium]","Test successful login to the Parabank application."
"passed","Sat Aug 15 20:42:06 UTC 2026","Sat Aug 15 20:42:06 UTC 2026","411","tests.API","test_fund_transfer_transaction_recording","","","","test_get_transactions","Test fund transfer creates correct debit/credit transactions in both accounts with schema validation."
"passed","Sat Aug 15 20:42:07 UTC 2026","Sat Aug 15 20:42:07 UTC 2026","113","tests.API","test_get_accounts_for_customer","","","","test_get_accounts_for_customer","Test retrieving accounts list for a customer with validation."
"passed","Sat Aug 15 20:42:05 UTC 2026","Sat Aug 15 20:42:05 UTC 2026","222","tests.API","test_create_account_with_invalid_from_account","","","","test_create_account_with_invalid_from_account_id","Test that creating a new account fails when using a non-existent from_account_id"
